RESPNUM,CCGID,RUNID,INTDATE,DAY,GATE,BAREA,STRATA,PEAK,METHOD,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE_CODE,DEST_CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q5FIRSTTIME,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAYS,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8COM1,Q8COM2,Q8COM3,Q8COM4,Q8COM5,Q9BOARDING,Q9AIRTRAIN,Q9RENTAL,Q9FOOD,Q9RESTROOM,Q9ALL,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11TSAPRE,Q12PRECHEKCRATE,Q12COM1,Q12COM2,Q12COM3,Q13COUNTY,Q13GETRATE,Q14FIND,Q14PASSTHRU,Q15PROBLEM,Q15COM1,Q15COM2,Q15COM3,NETPRO,Q16LIVE,Q17ZIP,Q17COUNTRY,HOME,Q19AGE,Q20GENDER,Q21INCOME,Q22FLY,Q23SJC,Q23OAK,LANG,WEIGHT,Hi,HOWLONG,Q17CITY,Q17STATE
1,522,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:00:00,12/31/1899 09:30:00 AM,2,,,7,,,,1,2,2,1,1,1,1,6,6,6,3,3,3,6,6,4,6,6,6,6,6,4,0,,,,,5,6,6,6,4,4,0,,,4,3,,,2,,,,,5,4,4,4,2,,,,6,3,,CANADA,13,5,2,3,1,2,2,1,0.2847177143,,210,MONTREAL,QC
2,504,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:00:00,12/31/1899 12:55:00 PM,4,,,6,,,,2,1,1,2,3,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,,,,,3,3,3,3,3,3,0,,,3,11,,,2,,,,,1,3,4,5,2,,,,7,1,94546,US,3,3,1,1,2,2,2,1,0.9440823789,,235,BERKELEY,CA
3,523,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,8:30 AM,12/31/1899 09:30:00 AM,2,,,3,,,,0,0,1,1,1,1,4,5,5,4,4,4,4,6,6,5,6,6,6,6,6,4,14,,,,,5,6,6,5,5,5,0,,,4,6,,,4,,,,,11,0,5,6,2,,,,5,3,89511,US,10,6,2,3,2,2,1,1,0.2847177143,,60,RENO,NV
4,505,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:00:00,12/31/1899 12:55:00 PM,2,,,9,,,,1,1,1,1,0,0,0,5,5,5,5,5,5,3,3,3,4,4,4,4,4,4,0,,,,,4,4,4,4,4,4,0,,,4,0,,,2,,,,,5,5,5,5,2,,,,7,1,94128,US,1,5,2,2,2,1,1,1,0.9440823789,,175,SAN FRANCISCO,CA
5,524,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:00:00,12/31/1899 09:30:00 AM,2,3,,5,,,,1,1,1,2,1,1,2,6,3,3,4,4,4,4,4,2,4,6,6,6,6,4,0,,,,,5,6,6,5,5,5,0,,,5,0,,,2,,,,,5,5,5,5,2,,,,9,3,,CANADA,13,4,2,4,1,2,2,1,0.2847177143,,150,MONTREAL,QC
6,525,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:30 AM,12/31/1899 09:30:00 AM,1,,,3,,,,1,1,1,1,1,1,2,3,3,3,4,4,4,3,6,3,4,4,6,6,6,4,0,,,,,5,6,6,5,5,5,0,,,4,1,2,3,0,,,,,11,4,4,5,2,,,,10,3,,CANADA,13,5,1,0,2,2,2,1,0.2847177143,,120,MONTREAL,QC
7,506,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:30 AM,12/31/1899 12:55:00 PM,2,,,12,,,,1,2,2,2,0,0,0,4,4,3,3,3,4,4,4,4,3,0,4,4,4,4,32,,,,,4,4,4,4,4,4,0,,,4,15,,,1,5,1,,,7,3,3,3,2,,,,8,1,95104,US,4,4,1,4,2,2,2,1,0.9440823789,,205,SAN JOSE,CA
8,526,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:30 AM,12/31/1899 09:30:00 AM,2,,,0,,,,1,2,1,2,1,2,1,6,4,6,4,4,4,6,6,6,6,6,6,6,6,4,0,,,,,4,6,6,4,4,4,0,,,5,0,,,1,4,0,,,5,4,4,4,2,,,,9,3,,CANADA,13,6,2,2,3,3,4,1,0.2847177143,,180,MONCTON,NB
9,507,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:30 AM,12/31/1899 12:55:00 PM,4,,,3,,,,1,1,1,1,2,1,1,5,3,4,5,5,5,5,5,5,6,6,6,6,6,4,8,,,,,5,5,5,5,5,5,0,,,5,1,,,3,,,,,11,5,5,5,2,,,,9,3,,MEXICO,13,2,1,1,2,2,2,2,0.9440823789,,205,MEXICO CITY,
10,527,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:30 AM,12/31/1899 09:30:00 AM,2,,,7,,,,1,1,1,1,1,1,3,6,4,4,5,5,5,6,6,4,6,6,6,6,6,5,1,8,,,,5,6,6,4,3,5,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,10,3,,CANADA,13,4,2,0,1,2,2,1,0.2847177143,,180,,NB
11,528,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:30 AM,12/31/1899 09:30:00 AM,2,,,7,,,,1,1,1,2,1,2,1,6,3,0,4,4,4,0,0,0,0,0,0,0,0,4,0,,,,,5,0,0,5,5,5,0,,,5,0,,,1,5,0,,,5,0,5,5,2,,,,9,3,,CANADA,13,7,1,2,2,2,2,1,0.2847177143,,180,MONCTON,NB
12,508,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,7:00:00,12/31/1899 12:55:00 PM,3,,,3,,,,2,1,1,1,3,1,4,3,3,3,3,3,1,3,3,4,3,3,3,3,3,3,0,,,,,4,4,4,4,4,4,0,,,4,0,,,2,,,,,11,4,6,6,2,,,,8,3,,CHINA,16,4,1,4,1,1,4,2,0.9440823789,,355,HONG KONG,
13,529,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,8:00:00,12/31/1899 09:30:00 AM,2,,,3,,,,0,1,1,1,3,1,2,4,3,3,4,4,4,3,3,5,6,6,6,6,6,Blank,102,151,,,,4,6,6,4,4,4,0,,,4,4,12,,4,,,,,11,4,4,6,2,,,,8,3,,CANADA,13,6,1,4,1,2,2,1,0.2847177143,,90,MONTREAL,QC
14,509,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:30 AM,12/31/1899 12:55:00 PM,4,,,3,,,,1,1,1,0,2,1,1,5,3,4,5,5,5,5,5,5,6,6,6,6,6,4,8,,,,,5,6,6,5,5,5,0,,,5,1,,,3,,,,,11,5,5,5,2,,,,9,3,,MEXICO,13,6,4,1,4,4,3,2,0.9440823789,,205,,
15,530,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:35 AM,12/31/1899 09:30:00 AM,2,,,3,,,,0,1,1,1,1,1,3,5,5,5,5,4,5,6,6,5,0,0,0,0,0,5,4,,,,,5,0,0,5,5,5,0,,,5,0,,,2,,,,,11,5,5,0,2,,,,10,2,95695,US,10,6,2,2,2,2,2,1,0.2847177143,,175,WOODLAND,CA
16,510,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,8:45 AM,12/31/1899 12:55:00 PM,1,,,3,,,,2,2,2,1,6,1,3,0,5,4,4,5,5,5,5,5,0,0,0,0,0,5,0,,,,,5,0,0,5,0,5,0,,,5,0,,,1,5,0,,,11,5,4,5,2,,,,10,3,,MEXICO,13,6,1,3,1,4,4,2,0.9440823789,,250,,
17,531,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:55 AM,12/31/1899 09:30:00 AM,1,,,5,,,,2,1,2,2,1,1,3,3,4,5,4,3,4,6,6,6,6,6,6,6,6,4,0,,,,,4,6,6,6,6,4,0,,,4,0,,,2,,,,,5,4,4,4,2,,,,8,3,,CANADA,13,4,1,2,2,2,2,1,0.2847177143,,95,MONTREAL,QC
18,532,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:30 AM,12/31/1899 09:30:00 AM,1,,,3,,,,2,2,2,1,1,2,1,5,3,3,4,3,5,3,3,5,6,6,6,6,6,Blank,12,,,,,5,3,3,3,3,4,0,,,5,3,,,2,,,,,11,6,5,6,2,,,,10,3,,CANADA,13,5,2,0,1,2,2,1,0.2847177143,,120,,NB
19,511,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:15 AM,12/31/1899 12:55:00 PM,1,,,5,,,,1,1,1,2,1,2,1,6,5,4,5,5,5,6,6,6,6,6,6,6,6,4,1,,,,,5,6,6,5,4,5,0,,,5,4,,,2,,,,,5,5,5,5,2,,,,10,3,,MEXICO,13,3,1,2,1,2,2,2,0.9440823789,,160,MEXICO CITY,
20,533,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:00:00,12/31/1899 09:30:00 AM,2,,,9,,,,1,2,1,2,1,2,1,5,3,5,4,4,4,6,6,6,4,6,5,6,5,5,104,,,,,5,5,5,5,5,5,0,,,5,4,,,1,5,1,,,5,5,4,5,2,,,,10,3,,CANADA,13,5,2,0,2,2,2,1,0.2847177143,,210,MONT TREMBLANT,QC
21,534,233,13,SAT,92,G,1,3,1,1,AIR CANADA,MONTREAL,760,3,40,4,2,6:50 AM,12/31/1899 09:30:00 AM,1,,,6,,,,2,1,1,1,2,1,3,3,3,3,5,5,5,6,6,4,4,4,4,6,6,4,14,,,,,4,4,4,4,4,4,0,,,4,17,,,1,3,4,,,1,3,3,3,2,,,,7,3,,CANADA,13,5,2,3,1,1,1,1,0.2847177143,,160,MONTREAL,QC
22,512,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:40 AM,12/31/1899 12:55:00 PM,2,3,,5,,,,1,1,2,1,3,1,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,0,,,,,4,4,4,4,4,4,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,8,1,94117,US,1,3,2,2,1,2,2,1,0.9440823789,,135,SAN FRANCISCO,CA
23,535,233,13,SAT,92,G,1,3,1,1,AIR CANADA,MONTREAL,760,3,40,4,2,7:30 AM,12/31/1899 09:30:00 AM,1,,,5,,,,2,2,2,2,2,1,2,3,3,5,5,5,5,6,6,4,4,3,4,6,6,4,105,,,,,4,5,5,5,5,5,1,,,4,4,,,1,5,1,,,5,5,5,5,2,,,,8,1,94110,US,1,5,1,4,1,1,1,1,0.2847177143,,120,SAN FRANCISCO,CA
24,513,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:00:00,12/31/1899 12:55:00 PM,6,,,3,,,,1,0,0,0,2,1,1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,,,,,3,4,4,3,2,3,0,,,4,6,,,1,5,13,,,11,3,3,3,2,,,,6,3,99515,US,10,5,4,4,1,1,1,1,0.9440823789,,175,ANCHORAGE,AK
25,536,233,13,SAT,92,G,1,3,1,1,AIR CANADA,MONTREAL,760,3,40,4,2,7:00:00,12/31/1899 09:30:00 AM,3,,,6,,,,1,2,2,2,2,1,4,3,3,3,3,3,3,2,3,6,6,6,6,6,6,3,14,208,,,,3,3,6,3,3,3,0,,,3,4,,,2,,,,,5,4,5,5,2,,,,8,3,,CANADA,13,5,1,2,2,2,2,1,0.2847177143,,150,MONTREAL,QC
26,537,233,13,SAT,92,G,1,3,1,1,AIR CANADA,MONTREAL,760,3,40,4,2,N,12/31/1899 09:30:00 AM,3,,,5,,,,0,0,0,0,2,1,3,4,4,4,4,4,4,4,4,4,6,6,6,6,6,4,32,,,,,4,4,6,4,4,4,0,,,4,4,,,2,,,,,5,5,5,5,2,,,,9,3,,CANADA,13,4,2,1,2,2,2,1,0.2847177143,,,CALGARY,AB
27,538,233,13,SAT,92,G,1,3,1,1,AIR CANADA,MONTREAL,760,3,40,4,2,N,12/31/1899 09:30:00 AM,3,,,6,,,,1,1,2,2,3,1,4,4,4,4,4,4,4,4,4,4,6,6,4,6,6,Blank,62,,,,,4,4,0,4,4,4,0,,,3,1,,,2,,,,,5,4,3,5,2,,,,8,3,,CANADA,13,5,2,1,2,2,2,1,0.2847177143,,,TORONTO,ON
28,514,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,11:15 AM,12/31/1899 12:55:00 PM,0,,,4,,,,1,2,2,1,1,1,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,54,,,,,5,5,4,4,4,4,0,,,4,0,,,1,3,4,,,0,5,5,5,2,,,,9,3,,MEXICO,13,4,2,2,3,2,4,1,0.9440823789,,100,MEXICO CITY,
29,625,238,13,SAT,98,G,2,3,1,1,UNITED INTL,FRANKFURT,58,29,21,6,4,12:00:00,12/31/1899 02:00:00 PM,1,,,6,,,,2,1,2,2,4,1,4,4,3,3,4,4,3,6,2,5,5,5,3,3,3,4,1,,,,,4,4,4,4,4,4,1,,,5,4,,,1,5,1,,,0,5,5,5,2,,,,6,1,94040,US,4,5,1,4,1,1,2,1,0.9440823789,,120,MOUNTAIN VIEW,CA
30,515,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,8:50 AM,12/31/1899 12:55:00 PM,1,,,3,,,,2,2,1,1,2,1,1,4,4,3,4,4,0,5,3,5,6,6,6,6,6,4,0,,,,,5,6,6,4,5,4,0,,,5,0,,,2,,,,,11,5,5,3,2,,,,9,3,,CHINA,16,4,1,1,2,2,2,1,0.9440823789,,245,SHENZHEN,
31,516,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,8:00:00,12/31/1899 12:55:00 PM,2,,,3,,,,1,1,0,1,2,1,4,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,3,,,,,5,5,0,0,4,4,0,,,5,4,,,4,,,,,11,0,5,4,2,,,,10,3,,MEXICO,13,3,2,1,2,2,2,1,0.9440823789,,295,,
32,626,238,13,SAT,98,G,2,3,1,1,UNITED INTL,FRANKFURT,58,29,21,6,4,11:30 AM,12/31/1899 02:00:00 PM,3,,,6,,,,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,22,61,,,,5,5,5,5,5,5,1,,,3,15,,,2,,,,,0,2,2,1,1,1,,,3,3,,GERMANY,15,3,1,1,2,2,2,1,0.9440823789,,150,FRANKFURT,
33,627,238,13,SAT,98,G,2,3,1,2,UNITED INTL,FRANKFURT,58,29,21,6,4,11:00:00,12/31/1899 02:00:00 PM,2,,,0,,,,1,2,1,1,2,1,1,5,2,4,5,5,5,4,5,5,6,6,6,6,6,4,102,105,,,,4,6,6,4,4,4,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,9,1,94110,US,1,3,1,1,3,2,2,1,0.9440823789,,180,SAN FRANCISCO,CA
34,517,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:50 AM,12/31/1899 12:55:00 PM,2,,,2,,,,2,2,1,1,3,1,3,5,4,4,4,5,5,5,5,5,5,6,4,6,5,5,101,,,,,5,5,5,5,5,5,0,,,5,0,,,2,,,,,6,0,5,5,2,,,,9,1,94080,US,2,3,2,3,2,2,4,1,0.9440823789,,125,SOUTH SAN FRANCISCO,CA
35,628,238,13,SAT,98,G,2,3,1,2,UNITED INTL,FRANKFURT,58,29,21,6,4,12:00:00,12/31/1899 02:00:00 PM,3,,,5,,,,1,1,2,1,3,1,2,2,1,2,4,4,3,3,3,4,3,3,4,3,4,2,105,14,,,,3,4,3,2,3,3,0,,,2,0,,,0,,,,,5,3,4,0,2,,,,5,1,94114,US,1,3,2,4,1,1,1,1,0.9440823789,,120,SAN FRANCISCO,CA
36,518,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,8:00:00,12/31/1899 12:55:00 PM,0,,,3,,,,1,2,1,1,2,1,1,6,3,3,4,4,4,4,4,5,6,6,6,6,6,4,0,,,,,5,6,6,4,4,4,0,,,3,0,,,0,,,,,11,6,6,3,2,,,,8,3,,MEXICO,13,4,2,0,2,2,2,1,0.9440823789,,295,,
37,629,238,13,SAT,98,G,2,3,1,2,UNITED INTL,FRANKFURT,58,29,21,6,4,11:00:00,12/31/1899 02:00:00 PM,2,,,5,,,,0,2,2,1,1,1,0,6,2,3,4,4,6,6,6,5,6,6,6,6,6,3,0,,,,,4,6,6,3,3,4,0,,,4,0,,,1,0,0,,,5,4,5,5,2,,,,7,3,,ITALY,15,2,1,0,2,2,2,1,0.9440823789,,180,SANNARA,
38,630,238,13,SAT,98,G,2,3,1,2,UNITED INTL,FRANKFURT,58,29,21,6,4,11:30 AM,12/31/1899 02:00:00 PM,2,,,5,,,,1,2,1,1,2,2,1,3,3,3,4,4,4,4,4,3,5,4,6,6,6,4,0,,,,,4,6,6,4,4,4,0,,,4,0,,,1,6,0,,,5,4,4,4,2,,,,8,3,,ITALY,15,2,1,0,2,2,2,1,0.9440823789,,150,CAPPADA,
39,519,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:00:00,12/31/1899 12:55:00 PM,1,,,0,,,,1,2,1,1,2,1,1,6,3,6,3,3,2,3,0,5,6,6,6,6,6,3,204,,,,,4,6,6,4,4,4,0,,,5,0,,,0,,,,,0,6,5,4,2,,,,8,3,,MEXICO,13,4,2,0,2,2,2,1,0.9440823789,,235,,
40,631,238,13,SAT,98,G,2,3,1,2,UNITED INTL,FRANKFURT,58,29,21,6,4,12:00:00,12/31/1899 02:00:00 PM,2,,,0,,,,1,0,0,1,2,1,1,6,6,6,4,4,4,4,4,4,6,6,6,6,6,4,0,,,,,4,6,6,6,4,4,0,,,4,0,,,1,5,0,,,7,5,5,5,2,,,,7,1,95108,US,4,3,2,0,2,2,2,1,0.9440823789,,120,SAN JOSE,CA
41,520,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,11:30 AM,12/31/1899 12:55:00 PM,1,,,1,,,2,2,2,2,2,3,1,2,3,3,3,3,4,4,4,4,5,3,3,6,6,6,4,18,63,60,,,5,6,6,0,4,4,0,,,5,15,,,2,,,,,5,4,4,4,2,,,,9,1,94118,US,1,3,2,3,3,1,4,1,0.9440823789,,85,SAN FRANCISCO,CA
42,643,277,15,MON,24,B,1,1,1,1,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:30 AM,12/31/1899 08:15:00 AM,3,,,2,,,,1,2,1,2,2,1,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,4,1,,,,,5,6,6,5,5,4,0,,,4,0,,,1,5,1,,,5,4,4,5,2,,,,10,3,86406,US,10,6,2,3,2,2,2,1,1.1156485207,,105,LAKE HAVASU,AZ
43,521,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:30 AM,12/31/1899 12:55:00 PM,2,,,5,,,,1,1,1,2,4,1,2,6,1,3,4,4,4,6,6,2,5,5,6,6,3,4,109,,,,,5,6,5,5,2,4,0,,,5,0,,,2,,,,,7,5,5,5,1,13,,,5,1,95123,US,4,3,1,4,1,1,2,1,0.9440823789,,145,SAN JOSE,CA
44,642,277,15,MON,24,B,1,1,1,1,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:30 AM,12/31/1899 08:15:00 AM,3,,,5,,,,1,2,2,2,3,1,4,2,3,3,4,6,4,6,6,6,1,3,4,6,4,4,71,65,,,,5,4,4,5,4,4,0,,,5,2,,,2,,,,,5,5,5,4,2,,,,8,3,43015,US,11,5,1,4,1,1,2,1,1.1156485207,,105,COLUMBUS,OH
45,651,258,14,SUN,59,D,2,1,1,1,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,9:30 AM,12/31/1899 11:40:00 AM,1,,,2,,,,2,2,0,1,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,101,,,,,5,5,5,5,5,5,0,,,4,21,,,1,5,1,,,6,5,5,5,2,,,,10,1,94066,US,2,6,1,4,2,2,2,1,1.4778779661,,130,SAN BRUNO,CA
46,644,277,15,MON,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:30 AM,12/31/1899 08:15:00 AM,3,,,2,,,,2,1,2,2,3,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,,,,,5,5,5,5,5,5,1,,,5,2,,,2,,,,,5,5,5,5,2,,,,10,1,,US,1,5,2,3,2,2,2,1,1.1156485207,,105,SAN FRANCISCO,CA
47,652,258,14,SUN,59,D,2,1,1,1,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,10:00:00,12/31/1899 11:40:00 AM,2,,,8,,,,1,2,2,2,2,1,4,4,6,6,4,4,4,6,6,6,6,6,4,6,6,4,206,,,,,4,6,6,6,3,4,0,,,3,20,,,2,,,,,6,5,5,3,1,33,,,8,2,95468,US,10,7,2,0,2,2,2,1,1.4778779661,,100,POINT ARENA,CA
48,645,277,15,MON,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:45 AM,12/31/1899 08:15:00 AM,3,,,2,,,,1,2,2,1,3,1,4,6,3,3,3,6,3,3,3,3,3,6,6,6,6,3,0,,,,,3,6,6,4,4,3,4,,,5,0,,,1,5,1,,,6,3,3,4,2,,,,6,3,40025,US,11,6,2,0,2,2,2,1,1.1156485207,,90,LOUISVILLE,KY
49,646,277,15,MON,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:15 AM,12/31/1899 08:15:00 AM,2,,,3,,,,0,1,1,0,1,2,1,3,2,3,3,4,0,0,0,0,0,0,0,0,0,Blank,0,,,,,3,0,0,3,0,0,0,,,4,0,,,0,,,,,11,4,4,4,2,,,,7,3,,AUSTRALIA,19,6,1,3,2,2,2,1,1.1156485207,,120,,
50,653,258,14,SUN,59,D,2,1,1,1,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,9:45 AM,12/31/1899 11:40:00 AM,2,,,5,,,,2,2,2,1,3,1,2,4,3,3,4,4,4,6,6,5,4,4,4,4,4,4,102,1,,,,5,5,5,4,4,5,0,,,4,0,,,2,,,,,5,4,5,5,2,,,,8,1,94704,US,3,2,2,2,1,2,1,1,1.4778779661,,115,BERKELEY,CA
51,654,258,14,SUN,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,8:50 AM,12/31/1899 11:40:00 AM,2,,,1,,,3,1,1,1,1,2,1,4,4,3,3,4,4,4,4,3,4,4,5,4,4,4,4,0,,,,,4,4,6,3,4,4,0,,,5,2,,,1,5,2,,,5,4,4,4,2,,,,9,1,,US,1,4,2,1,2,2,2,1,1.4778779661,,170,SAN FRANCISCO,CA
52,647,277,15,MON,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:40 AM,12/31/1899 08:15:00 AM,3,,,5,,,,2,2,1,1,1,2,1,4,5,6,4,6,6,6,6,4,6,6,6,6,6,5,1,,,,,5,6,6,5,5,5,6,,,5,3,,,2,,,,,5,5,5,5,2,,,,10,3,68154,US,11,3,2,2,2,2,2,1,1.1156485207,,95,OMAHA,NE
53,648,277,15,MON,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:15 AM,12/31/1899 08:15:00 AM,1,,,7,,,,1,1,1,1,3,1,2,3,3,3,4,3,4,4,4,4,5,6,4,4,6,3,0,,,,,4,4,6,3,4,4,0,,,4,0,,,1,5,0,,,6,4,4,4,2,,,,8,1,94062,US,2,6,2,2,2,1,2,1,1.1156485207,,120,REDWOOD CITY,CA
54,655,258,14,SUN,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,N,12/31/1899 11:40:00 AM,3,,,2,,,,1,0,0,0,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,,,,,3,3,3,3,3,3,0,,,4,0,,,0,,,,,2,4,4,4,3,,,,6,1,94509,US,5,4,1,2,2,4,1,1,1.4778779661,,,ANTIOCH,CA
55,649,277,15,MON,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:15 AM,12/31/1899 08:15:00 AM,2,,,8,,,,1,1,2,2,1,2,1,3,3,3,4,4,3,4,6,6,6,6,6,6,6,3,31,43,,,,4,6,6,4,4,3,13,,,4,0,,,2,,,,,5,4,4,4,2,,,,0,3,,,99,3,2,0,2,2,2,1,1.1156485207,,120,,
56,656,258,14,SUN,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,9:50 AM,12/31/1899 11:40:00 AM,2,,,2,,,,1,2,1,2,2,1,4,3,4,4,4,4,4,2,2,6,2,2,2,6,6,3,0,,,,,4,6,6,4,4,4,0,,,4,0,,,1,3,0,,,6,4,4,3,2,,,,7,1,,,90,3,2,0,2,2,2,1,1.4778779661,,110,,
57,650,277,15,MON,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:20 AM,12/31/1899 08:15:00 AM,2,,,2,,,,1,2,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,0,,,,,3,3,3,3,3,3,0,,,4,0,,,2,,,,,6,5,5,5,2,,,,9,1,94030,US,2,6,2,2,2,2,2,1,1.1156485207,,115,MILLBRAE,CA
58,657,258,14,SUN,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,10:00:00,12/31/1899 11:40:00 AM,2,,,6,,,,1,2,2,1,1,2,1,4,4,4,5,5,5,5,5,4,4,6,5,6,6,Blank,0,,,,,5,5,6,6,5,4,0,,,4,4,,,1,4,0,,,5,4,4,4,2,,,,10,3,,FRANCE,15,4,2,1,2,2,2,1,1.4778779661,,100,ST. JEAN DE LUE,
59,658,258,14,SUN,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,10:15 AM,12/31/1899 11:40:00 AM,1,2,,2,,,,0,1,1,1,2,1,4,3,3,4,4,5,5,5,5,5,4,4,4,4,3,5,0,,,,,5,4,5,5,5,5,0,,,4,6,,,2,,,,,1,4,5,5,2,,,,10,1,94502,US,3,3,2,2,2,2,1,1,1.4778779661,,85,ALAMEDA,CA
60,659,258,14,SUN,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,10:00:00,12/31/1899 11:40:00 AM,2,,,5,,,,1,0,1,0,1,2,1,3,4,3,4,4,4,4,4,4,4,4,4,6,4,4,0,,,,,5,4,5,5,5,5,0,,,5,2,,,2,,,,,5,5,5,5,2,,,,10,3,,UK,15,3,2,2,1,2,2,1,1.4778779661,,100,LONDON,
